iter	Logloss
0	0.6658328194
1	0.6381431166
2	0.613890816
3	0.5883113274
4	0.5695532963
5	0.5458324322
6	0.5204498202
7	0.5006334679
8	0.4840891411
9	0.4644618881
10	0.446785907
11	0.4287453732
12	0.4115853396
13	0.3986629706
14	0.3842193177
15	0.3694758181
16	0.3546717754
17	0.3387382839
18	0.3263484085
19	0.3115442258
20	0.3003130781
21	0.2882648546
22	0.2792767302
23	0.2680797214
24	0.2600065963
25	0.2492333177
26	0.2406993243
27	0.2313658942
28	0.2236455911
29	0.2152364498
30	0.2063454432
31	0.1970907225
32	0.1916858276
33	0.1832519601
34	0.1755134942
35	0.1676495557
36	0.1610065899
37	0.155971554
38	0.1509734053
39	0.144382421
40	0.1403740212
41	0.1354615105
42	0.1309250429
43	0.1270817276
44	0.1237631673
45	0.119563101
46	0.115497144
47	0.112423474
48	0.1086453735
49	0.1049701356
50	0.1013405805
51	0.09777078787
52	0.09401789039
53	0.09095092219
54	0.08864851527
55	0.08555946724
56	0.08360677815
57	0.08078867085
58	0.0783323916
59	0.07597651129
60	0.07345351719
61	0.07116176198
62	0.0696290965
63	0.06724123934
64	0.06513464626
65	0.06306045218
66	0.06131687694
67	0.05916922462
68	0.05778678779
69	0.05599388038
70	0.05384895063
71	0.05238468509
72	0.05043128013
73	0.04889093712
74	0.04724158337
75	0.0458548656
76	0.04488984863
77	0.04354829747
78	0.04199713699
79	0.04087876529
80	0.03946603453
81	0.0380974482
82	0.03651514128
83	0.03542810469
84	0.03468997682
85	0.03390578867
86	0.03297709772
87	0.03202533986
88	0.03086475828
89	0.03023127281
90	0.02935639662
91	0.02847125129
92	0.02771532532
93	0.02701067338
94	0.02630895099
95	0.0256465452
96	0.02504146648
97	0.0243472378
98	0.02371899089
99	0.02317842303
100	0.02256957989
101	0.02200544553
102	0.02140180703
103	0.02080918228
104	0.02040297378
105	0.02002509852
106	0.01954210768
107	0.01906318709
108	0.01862563826
109	0.01818007769
110	0.01785184247
111	0.01751845537
112	0.01712978471
113	0.01676674993
114	0.0163342701
115	0.01599402532
116	0.01562004167
117	0.01520590229
118	0.014876646
119	0.01459849827
120	0.01439408112
121	0.0140192016
122	0.0137603831
123	0.01335139357
124	0.01307389597
125	0.01287245311
126	0.01254731742
127	0.01231042774
128	0.012124303
129	0.01195346933
130	0.01168973863
131	0.01135716222
132	0.01115238656
133	0.01092994547
134	0.01067981958
135	0.01050275008
136	0.01033318266
137	0.01015981191
138	0.009922723685
139	0.009691119989
140	0.009494590396
141	0.009376516203
142	0.009193571521
143	0.008982005165
144	0.008892376897
145	0.008770392283
146	0.008625250657
147	0.008510827883
148	0.008349832377
149	0.008204767124
150	0.008046970689
151	0.007904307711
152	0.007734653301
153	0.007582349506
154	0.007493329812
155	0.007340758282
156	0.007246164992
157	0.007144237612
158	0.007012352535
159	0.006910358829
160	0.006801388418
161	0.006673240041
162	0.00654997313
163	0.006432023226
164	0.006334783637
165	0.006274996882
166	0.006214938668
167	0.006094090763
168	0.005995452945
169	0.005885368215
170	0.005782406757
171	0.005738955646
172	0.005663971068
173	0.005601844438
174	0.005500927626
175	0.005400541736
176	0.005321790837
177	0.005247440882
178	0.005186010079
179	0.005093512087
180	0.005016165031
181	0.004953372247
182	0.004870684414
183	0.004778941301
184	0.004726888512
185	0.004659379873
186	0.004587694169
187	0.004505188365
188	0.004435674148
189	0.004386827779
190	0.004356867046
191	0.004307216724
192	0.004273491105
193	0.004210504721
194	0.004161386443
195	0.004123300693
196	0.004073964471
197	0.004020739438
198	0.003970897387
199	0.003920726682
